"id","name","pubchem_id","kegg_id","source","type","function","mol_wt","ex_mass","mol_formula","xlogp","tparea","h_donor","h_acceptor","rote_bond_count","iupac","struct","sdf_file","mol_file","pdb_file","canonical","isomeric","drugpedia","reference"
"3527","asowfntd","91281","93503","http://ljjeehqbavkl.com/","HZFkatvLGLZzWlnYxmD","asowfntd","puqaaUryCk","iMWeFKflCozk","LiTQvEBweVgOq","vL9GVv  <a href=\\"http://","New York","RSJUMisqDM","bkfbtIoUqq","asowfntd","IbydyNivyhUjPFp","","","","","mSoEmjmefDuUQqenfp","BKkNbAUsaIsppYJldMy","","December29,2011 - 12:19PM Thu"
"3528","","0","","","","","","","","","","","","","","","","","","","","","December29,2011 - 12:19PM Thu"
"3529","","0","","","","","","","","","","","","","","","","","","","","","February25,2012 - 9:22AM Sat"
"3530","","0","","","","","","","","","","","","","","","","","","","","","March24,2012 - 2:26AM Sat"
"3531","kyetwvp","201523","9750","http://zlbiioexfvcs.com/","xeXltGEdVC","kyetwvp","spCKoEeuflX","nuiMpqjtALOppC","noDlOsvXzRmYFW","ncqwrC  <a href=\\"http://","New York","xZkhDQajJy","QfXpFocWDz","kyetwvp","oWZlTKmD","","","","","JqtLtWdqVjcYsUdBC","lDKVvbtPPZZsxL","","January5,2013 - 3:03AM Sat"
"3532","","0","","","","","","","","","","","","","","","","","","","","","January5,2013 - 3:03AM Sat"
"3533","rlwzqqhgfe","5068","4423","http://obmngauzdfsi.com/","hGhBZIzOqvJorzDoWUW","rlwzqqhgfe","gDzsMJmkLsbrgbTXX","kdSBtqIWQvbKoVnzE","hFEQMUVrj","G1yfxj  <a href=\\"http://","New York","eDcFstbBfP","BVczTGmof","rlwzqqhgfe","vNtmTrXajEoCcd","","","","","mrzDLURX","CQetsUUBCg","","January5,2013 - 3:24AM Sat"
"3534","","0","","","","","","","","","","","","","","","","","","","","","January5,2013 - 3:24AM Sat"
"3535","","0","","","","","","","","","","","","","","","","","","","","","March8,2013 - 4:43PM Fri"
"3536","","0","","","","","","","","","","","","","","","","","","","","","April27,2013 - 10:48AM Sat"
"3537","","0","","","","","","","","","","","","","","","","","","","","","June5,2013 - 5:08PM Wed"
"3538","","0","","","","","","","","","","","","","","","","","","","","","July5,2013 - 11:52AM Fri"
"3539","","0","","","","","","","","","","","","","","","","","","","","","August19,2013 - 3:28AM Mon"
"3540","","0","","","","","","","","","","","","","","","","","","","","","September25,2013 - 8:47PM Wed"
"3541","","0","","","","","","","","","","","","","","","","","","","","","September25,2013 - 8:47PM Wed"
"3542","","0","","","","","","","","","","","","","","","","","","","","","September25,2013 - 8:47PM Wed"
"3543","","0","","","","","","","","","","","","","","","","","","","","","September25,2013 - 8:48PM Wed"
"3544","","0","","","","","","","","","","","","","","","","","","","","","September25,2013 - 8:48PM Wed"
"3545","","0","","","","","","","","","","","","","","","","","","","","","April16,2014 - 6:48AM Wed"
"3546","","0","","","","","","","","","","","","","","","","","","","","","April25,2015 - 11:48PM Sat"
"3547","","0","","","","","","","","","","","","","","","","","","","","","August21,2015 - 8:07PM Fri"
"3548","","0","","","","","","","","","","","","","","","","","","","","","October7,2015 - 10:50PM Wed"
"3549","","0","","","","","","","","","","","","","","","","","","","","","November22,2015 - 6:39AM Sun"
"3550","","0","","","","","","","","","","","","","","","","","","","","","January14,2016 - 6:59PM Thu"
"3551","","0","","","","","","","","","","","","","","","","","","","","","February10,2016 - 7:37PM Wed"
"3552","","0","","","","","","","","","","","","","","","","","","","","","April30,2016 - 5:00PM Sat"
"3553","JimmiXS","130434","309138","http://www.FyLitCl7Pf7kjQdDUOLQOuaxTXbj5iNG.com","eMmdMupLTKYHHCW","yTpjLaondhTressuaS","YmbCjHff","rJIKMfdsy","OwqiExTItcnZcxtP","UWTsfNogaRhCvvWTDnT","New York","RJFSepBDld","LgCIasgOyK","usrrRHIOGi","IewqNjMrR","","","","","PibNDzHoNGigQX","XLThtRaPUVguR","","August11,2016 - 10:25PM Thu"
"3554","","0","","","","","","","","","","","","","","","","","","","","","August11,2016 - 10:25PM Thu"
"3555","","0","","","","","","","","","","","","","","","","","","","","","February11,2017 - 6:27AM Sat"
"3556","","0","","","","","","","","","","","","","","","","","","","","","March4,2017 - 8:06PM Sat"
"3557","","0","","","","","","","","","","","","","","","","","","","","","March15,2017 - 3:34AM Wed"
"3558","","0","","","","","","","","","","","","","","","","","","","","","March28,2019 - 1:49AM Thu"
"3559","","0","","","","","","","","","","","","","","","","","","","","","April21,2019 - 4:40PM Sun"
"3560","","0","","","","","","","","","","","","","","","","","","","","","January7,2020 - 6:56AM Tue"
"3561","","0","","","","","","","","","","","","","","","","","","","","","April19,2020 - 1:23PM Sun"
"3562","","0","","","","","","","","","","","","","","","","","","","","","May13,2020 - 4:16PM Wed"
"3563","","0","","","","","","","","","","","","","","","","","","","","","June23,2020 - 2:28AM Tue"
"3564","","0","","","","","","","","","","","","","","","","","","","","","December21,2020 - 10:39AM Mon"
"3565","","0","","","","","","","","","","","","","","","","","","","","","July16,2022 - 11:43PM Sat"
"3566","","0","","","","","","","","","","","","","","","","","","","","","July19,2022 - 6:51AM Tue"
"3567","trjnx","0","trjnx","trjnx","trjnx","trjnx","11","trjnx","11","","","","","","trjnx","","<?php\n/*\ndatabase ","<?php\n/*\ndatabase ","<?php\n/*\ndatabase ","","","","October12,2022 - 5:35PM Wed"
